总金额,小费,性别,是否吸烟,日期,时间,型号,吸烟性别综合
16.99,1.01,0,0,Sun,Dinner,2,0_0
10.34,1.66,1,0,Sun,Dinner,3,0_1
21.01,3.5,1,0,Sun,Dinner,3,0_1
23.68,3.31,1,0,Sun,Dinner,2,0_1
24.59,3.61,0,0,Sun,Dinner,4,0_0
25.29,4.71,1,0,Sun,Dinner,4,0_1
8.77,2.0,1,0,Sun,Dinner,2,0_1
26.88,3.12,1,0,Sun,Dinner,4,0_1
15.04,1.96,1,0,Sun,Dinner,2,0_1
14.78,3.23,1,0,Sun,Dinner,2,0_1
10.27,1.71,1,0,Sun,Dinner,2,0_1
35.26,5.0,0,0,Sun,Dinner,4,0_0
15.42,1.57,1,0,Sun,Dinner,2,0_1
18.43,3.0,1,0,Sun,Dinner,4,0_1
14.83,3.02,0,0,Sun,Dinner,2,0_0
21.58,3.92,1,0,Sun,Dinner,2,0_1
10.33,1.67,0,0,Sun,Dinner,3,0_0
16.29,3.71,1,0,Sun,Dinner,3,0_1
16.97,3.5,0,0,Sun,Dinner,3,0_0
20.65,3.35,1,0,Sat,Dinner,3,0_1
17.92,4.08,1,0,Sat,Dinner,2,0_1
20.29,2.75,0,0,Sat,Dinner,2,0_0
15.77,2.23,0,0,Sat,Dinner,2,0_0
39.42,7.58,1,0,Sat,Dinner,4,0_1
19.82,3.18,1,0,Sat,Dinner,2,0_1
17.81,2.34,1,0,Sat,Dinner,4,0_1
13.37,2.0,1,0,Sat,Dinner,2,0_1
12.69,2.0,1,0,Sat,Dinner,2,0_1
21.7,4.3,1,0,Sat,Dinner,2,0_1
19.65,3.0,0,0,Sat,Dinner,2,0_0
9.55,1.45,1,0,Sat,Dinner,2,0_1
18.35,2.5,1,0,Sat,Dinner,4,0_1
15.06,3.0,0,0,Sat,Dinner,2,0_0
20.69,2.45,0,0,Sat,Dinner,4,0_0
17.78,3.27,1,0,Sat,Dinner,2,0_1
24.06,3.6,1,0,Sat,Dinner,3,0_1
16.31,2.0,1,0,Sat,Dinner,3,0_1
16.93,3.07,0,0,Sat,Dinner,3,0_0
18.69,2.31,1,0,Sat,Dinner,3,0_1
31.27,5.0,1,0,Sat,Dinner,3,0_1
16.04,2.24,1,0,Sat,Dinner,3,0_1
17.46,2.54,1,0,Sun,Dinner,2,0_1
13.94,3.06,1,0,Sun,Dinner,2,0_1
9.68,1.32,1,0,Sun,Dinner,2,0_1
30.4,5.6,1,0,Sun,Dinner,4,0_1
18.29,3.0,1,0,Sun,Dinner,2,0_1
22.23,5.0,1,0,Sun,Dinner,2,0_1
32.4,6.0,1,0,Sun,Dinner,4,0_1
28.55,2.05,1,0,Sun,Dinner,3,0_1
18.04,3.0,1,0,Sun,Dinner,2,0_1
12.54,2.5,1,0,Sun,Dinner,2,0_1
10.29,2.6,0,0,Sun,Dinner,2,0_0
34.81,5.2,0,0,Sun,Dinner,4,0_0
9.94,1.56,1,0,Sun,Dinner,2,0_1
25.56,4.34,1,0,Sun,Dinner,4,0_1
19.49,3.51,1,0,Sun,Dinner,2,0_1
38.01,3.0,1,1,Sat,Dinner,4,1_1
26.41,1.5,0,0,Sat,Dinner,2,0_0
11.24,1.76,1,1,Sat,Dinner,2,1_1
48.27,6.73,1,0,Sat,Dinner,4,0_1
20.29,3.21,1,1,Sat,Dinner,2,1_1
13.81,2.0,1,1,Sat,Dinner,2,1_1
11.02,1.98,1,1,Sat,Dinner,2,1_1
18.29,3.76,1,1,Sat,Dinner,4,1_1
17.59,2.64,1,0,Sat,Dinner,3,0_1
20.08,3.15,1,0,Sat,Dinner,3,0_1
16.45,2.47,0,0,Sat,Dinner,2,0_0
3.07,1.0,0,1,Sat,Dinner,1,1_0
20.23,2.01,1,0,Sat,Dinner,2,0_1
15.01,2.09,1,1,Sat,Dinner,2,1_1
12.02,1.97,1,0,Sat,Dinner,2,0_1
17.07,3.0,0,0,Sat,Dinner,3,0_0
26.86,3.14,0,1,Sat,Dinner,2,1_0
25.28,5.0,0,1,Sat,Dinner,2,1_0
14.73,2.2,0,0,Sat,Dinner,2,0_0
10.51,1.25,1,0,Sat,Dinner,2,0_1
17.92,3.08,1,1,Sat,Dinner,2,1_1
27.2,4.0,1,0,Thur,Lunch,4,0_1
22.76,3.0,1,0,Thur,Lunch,2,0_1
17.29,2.71,1,0,Thur,Lunch,2,0_1
19.44,3.0,1,1,Thur,Lunch,2,1_1
